"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.964458128E2,6.498297168E1,2.551331230E1,1.542166506E1,1.850000024E0,2.506000061E2,3.790092468E0,2.500000000E0
1.974449283E2,6.498296517E1,2.551327286E1,1.557956219E1,1.909999967E0,2.523000031E2,3.790092468E0,2.500000000E0
1.984452004E2,6.498295771E1,2.551323625E1,1.573275837E1,1.889999986E0,2.466999969E2,3.790092468E0,2.618943214E0
1.994454742E2,6.498295242E1,2.551319675E1,1.570163075E1,1.929999948E0,2.536000061E2,3.790092468E0,2.725478411E0
2.004453238E2,6.498294644E1,2.551315863E1,1.555343689E1,1.950000048E0,2.526999969E2,3.790092468E0,2.585429430E0
2.014451675E2,6.498293987E1,2.551312232E1,1.552218561E1,1.889999986E0,2.501999969E2,3.790092468E0,2.500000000E0
2.024449527E2,6.498293297E1,2.551308815E1,1.562533315E1,1.919999957E0,2.465000000E2,3.790092468E0,2.500000000E0
2.034449544E2,6.498292629E1,2.551305581E1,1.529793867E1,1.929999948E0,2.473999939E2,3.790092468E0,2.500000000E0
2.044450260E2,6.498291998E1,2.551302383E1,1.528408208E1,1.870000005E0,2.473999939E2,3.790092468E0,2.500000000E0
2.054452334E2,6.498291306E1,2.551298818E1,1.534035480E1,1.909999967E0,2.471000061E2,3.790092468E0,2.500000000E0
2.064454250E2,6.498290699E1,2.551295009E1,1.544325948E1,1.909999967E0,2.488000031E2,3.790092468E0,2.500000000E0
2.074454385E2,6.498290046E1,2.551291350E1,1.564211081E1,1.830000043E0,2.478000031E2,3.790092468E0,2.500000000E0
2.084456980E2,6.498289557E1,2.551287661E1,1.536849055E1,1.879999995E0,2.493000031E2,3.790092468E0,2.500000000E0
2.094458213E2,6.498289117E1,2.551283975E1,1.532027357E1,1.870000005E0,2.506000061E2,3.790092468E0,2.500000000E0
2.104453011E2,6.498288525E1,2.551280100E1,1.537386207E1,1.909999967E0,2.498999939E2,3.790092468E0,2.500000000E0
